,"perplexity: 10, early_exaggeration: 4.0, learning_rate: 250, metric: correlation, init: pca", , 
,tSNE 1,tSNE 2,HDBSCAN label
N357Barcode_719-507,11.178016662597656,-24.871288299560547,28.0
N357Barcode_721-505,44.57184600830078,-0.5347151160240173,6.0
N357Barcode_712-506,-18.391712188720703,-19.55607795715332,11.0
N357Barcode_729-515,11.2346773147583,-4.551952362060547,24.0
N357Barcode_711-517,-9.442798614501953,-33.95529556274414,22.0
N357Barcode_716-517,-3.612061023712158,4.327749252319336,4.0
N357Barcode_707-510,-1.8407678604125977,-4.219936370849609,18.0
N357Barcode_726-505,-38.12717819213867,46.287864685058594,9.0
N357Barcode_715-506,-37.28203201293945,45.886234283447266,9.0
N357Barcode_718-517,36.769283294677734,-38.16019058227539,16.0
N357Barcode_720-515,38.241458892822266,-42.1100959777832,16.0
N357Barcode_728-505,-33.194644927978516,40.54746627807617,9.0
N357Barcode_710-507,22.62274742126465,43.86607360839844,20.0
N357Barcode_707-522,39.8199348449707,-39.595375061035156,16.0
N357Barcode_705-511,26.518733978271484,-48.03391647338867,15.0
N357Barcode_727-515,29.743295669555664,35.31842803955078,-1.0
N357Barcode_714-516,-29.480499267578125,5.283628463745117,13.0
N357Barcode_703-518,6.7048773765563965,19.12173843383789,12.0
N357Barcode_722-507,-57.758453369140625,-17.618488311767578,2.0
N357Barcode_712-515,5.927896499633789,18.407066345214844,12.0
N357Barcode_721-516,10.546627044677734,-26.420698165893555,28.0
N357Barcode_715-515,-27.55692481994629,44.469852447509766,9.0
N357Barcode_726-516,33.9198112487793,38.66914367675781,8.0
N357Barcode_707-503,21.0059757232666,39.268672943115234,21.0
N357Barcode_704-518,-37.139060974121094,49.08567810058594,9.0
N357Barcode_706-521,40.85414505004883,-35.763389587402344,16.0
N357Barcode_702-508,-29.37061309814453,51.960289001464844,9.0
N357Barcode_723-517,-28.073530197143555,44.464561462402344,9.0
N357Barcode_701-513,-65.62686157226562,7.359188079833984,3.0
N357Barcode_728-516,-9.778903007507324,-36.96923065185547,22.0
N357Barcode_703-520,27.900310516357422,-47.194698333740234,15.0
N357Barcode_702-502,-30.47208023071289,2.3309834003448486,13.0
N357Barcode_720-506,-59.02596664428711,4.974653244018555,3.0
N357Barcode_704-520,-6.773798942565918,-32.46220397949219,22.0
N357Barcode_714-505,21.017688751220703,39.278717041015625,21.0
N357Barcode_705-502,-2.5300097465515137,-7.529006481170654,19.0
N357Barcode_727-506,36.133880615234375,39.36277389526367,8.0
N357Barcode_724-517,-30.974395751953125,0.18228600919246674,13.0
N357Barcode_706-513,39.764530181884766,40.33168411254883,8.0
N357Barcode_714-502,-34.20144271850586,2.6300771236419678,13.0
N357Barcode_705-505,46.87761688232422,35.71821975708008,8.0
N357Barcode_724-510,49.27803039550781,36.93897247314453,8.0
